seed,val_mse,alpha_recovered,alpha_error_pct,train_time_s
42,3.6370739753266434e-09,0.0932943841337166,16.61798016714575,5.337714910507202
123,3.9419698061315955e-10,0.08511900596609055,6.398757457613188,5.353868246078491
456,2.695601519775437e-10,-0.12040073651874174,250.50092064842718,5.3854029178619385
789,5.318931961539874e-10,0.07853071371359932,1.8366078580008514,5.2394468784332275
1000,5.234834787870568e-10,-2.202621223730505,2853.276529663131,5.167588472366333
1234,2.3987967168181967e-08,-1.9274342281090546,2509.2927851363183,5.1016154289245605
2000,1.0882322820648938e-09,0.14959049953055809,86.9881244131976,5.560263633728027
3000,4.546023113505271e-09,-2.147933073773768,2784.91634221721,5.350700616836548
4000,6.559361387381557e-11,-0.3470945469102828,533.8681836378535,5.280219316482544
5000,3.4637909207546613e-10,-2.5222176786400157,3252.7720983000195,5.38820219039917
MEAN,3.5390403052559804e-09,-0.8861166884338404,1229.6468329498916,5.316502261161804
STD,7.349698928430166e-09,1.148389115783164,1414.5813126968367,0.12820519975503178
