dataset,method,seed,corr,nrmse,n_params
synthetic (printed memristor),Psi-Vortex (teacher),0,0.9521916133420009,0.07291397368557626,63329
synthetic (printed memristor),MLP,0,0.9427978186261339,0.07873042341512165,8577
synthetic (printed memristor),PIKAN,0,0.9837868287450858,0.04238414369708991,540
synthetic (printed memristor),SINDy,0,0.9373252361660169,0.08229163214445372,3
synthetic (printed memristor),Psi-Vortex (teacher),1,0.9544776245130179,0.0713205795528115,63329
synthetic (printed memristor),MLP,1,0.9429332587212144,0.07863969731951596,8577
synthetic (printed memristor),PIKAN,1,0.969603682327805,0.05778786826126042,540
synthetic (printed memristor),SINDy,1,0.9373252361660169,0.08229163214445372,3
synthetic (printed memristor),Psi-Vortex (teacher),2,0.9530012708527945,0.0716749189946986,63329
synthetic (printed memristor),MLP,2,0.9449498770913897,0.0772764979442659,8577
synthetic (printed memristor),PIKAN,2,0.9683406711813799,0.05897250456373503,540
synthetic (printed memristor),SINDy,2,0.9373252361660169,0.08229163214445372,3
real GO-PDADMAC4,Psi-Vortex (teacher),0,0.992454746738734,0.0390436165034771,63329
real GO-PDADMAC4,MLP,0,0.9910814909950397,0.04296606034040451,8577
real GO-PDADMAC4,PIKAN,0,0.9871226467318683,0.05010334774851799,540
real GO-PDADMAC4,SINDy,0,0.9900375666015719,0.042557284235954285,3
real GO-PDADMAC4,Psi-Vortex (teacher),1,0.9946761797266929,0.042843908071517944,63329
real GO-PDADMAC4,MLP,1,0.9900776168819487,0.04553302004933357,8577
real GO-PDADMAC4,PIKAN,1,0.9892356258312277,0.045588135719299316,540
real GO-PDADMAC4,SINDy,1,0.9900375666015719,0.042557284235954285,3
real GO-PDADMAC4,Psi-Vortex (teacher),2,0.9918805008452751,0.03982973471283913,63329
real GO-PDADMAC4,MLP,2,0.9922346649131845,0.04100897163152695,8577
real GO-PDADMAC4,PIKAN,2,0.9919145546026108,0.04105743020772934,540
real GO-PDADMAC4,SINDy,2,0.9900375666015719,0.042557284235954285,3
real GO-PEI3,Psi-Vortex (teacher),0,0.9999410713106919,0.0033789994195103645,63329
real GO-PEI3,MLP,0,0.999953092512334,0.003151279641315341,8577
real GO-PEI3,PIKAN,0,0.9996531525768794,0.007514579687267542,540
real GO-PEI3,SINDy,0,0.9993986436272447,0.010100744664669037,1
real GO-PEI3,Psi-Vortex (teacher),1,0.9999557082800904,0.003034555586054921,63329
real GO-PEI3,MLP,1,0.9999530842443471,0.0031112004071474075,8577
real GO-PEI3,PIKAN,1,0.9996926939901026,0.0070747435092926025,540
real GO-PEI3,SINDy,1,0.9993986436272447,0.010100744664669037,1
real GO-PEI3,Psi-Vortex (teacher),2,0.9999566226652303,0.003164091845974326,63329
real GO-PEI3,MLP,2,0.9999527015458664,0.0031563390512019396,8577
real GO-PEI3,PIKAN,2,0.9998380600315389,0.005148043390363455,540
real GO-PEI3,SINDy,2,0.9993986436272447,0.010100744664669037,1
real GO-PEI4,Psi-Vortex (teacher),0,0.9955346820334019,0.03008679486811161,63329
real GO-PEI4,MLP,0,0.9946733581043431,0.03281167522072792,8577
real GO-PEI4,PIKAN,0,0.9919181527675577,0.03949795290827751,540
real GO-PEI4,SINDy,0,0.9927222824172158,0.04177407547831535,2
real GO-PEI4,Psi-Vortex (teacher),1,0.9946860003823603,0.03285611420869827,63329
real GO-PEI4,MLP,1,0.9943777593471315,0.033838897943496704,8577
real GO-PEI4,PIKAN,1,0.992663666559155,0.037819478660821915,540
real GO-PEI4,SINDy,1,0.9927222824172158,0.04177407547831535,2
real GO-PEI4,Psi-Vortex (teacher),2,0.9941494896359317,0.034603334963321686,63329
real GO-PEI4,MLP,2,0.995460065953466,0.02989107556641102,8577
real GO-PEI4,PIKAN,2,0.9946119038570768,0.03334219381213188,540
real GO-PEI4,SINDy,2,0.9927222824172158,0.04177407547831535,2
