dataset,method,corr,nrmse,nrmse_std,n_params
real GO-PDADMAC4,MLP,0.9911312575967243,0.04316935067375501,0.002268865077828556,8577
real GO-PDADMAC4,PIKAN,0.9894242757219023,0.04558297122518221,0.004522960981778038,540
real GO-PDADMAC4,Psi-Vortex (teacher),0.9930038091035674,0.04057241976261139,0.002006050800178553,63329
real GO-PDADMAC4,SINDy,0.9900375666015719,0.042557284235954285,0.0,3
real GO-PEI3,MLP,0.9999529594341826,0.003139606366554896,2.4730008178224854e-05,8577
real GO-PEI3,PIKAN,0.9997279688661737,0.0065791221956412,0.0012587111964427282,540
real GO-PEI3,Psi-Vortex (teacher),0.9999511340853374,0.003192548950513204,0.00017397627338353576,63329
real GO-PEI3,SINDy,0.9993986436272447,0.010100744664669037,0.0,1
real GO-PEI4,MLP,0.9948370611349802,0.03218054957687855,0.0020481857982121232,8577
real GO-PEI4,PIKAN,0.9930645743945964,0.03688654179374377,0.0031821566446217095,540
real GO-PEI4,Psi-Vortex (teacher),0.9947900573505647,0.032515414680043854,0.0022774636626144156,63329
real GO-PEI4,SINDy,0.9927222824172158,0.04177407547831535,0.0,2
synthetic (printed memristor),MLP,0.943560318146246,0.0782155395596345,0.0008144981108950014,8577
synthetic (printed memristor),PIKAN,0.9739103940847569,0.053048172174028456,0.009254294587379544,540
synthetic (printed memristor),Psi-Vortex (teacher),0.9532235029026044,0.07196982407769546,0.0008366319211967188,63329
synthetic (printed memristor),SINDy,0.9373252361660169,0.08229163214445372,0.0,3
