artifact,alpha_rec,r2,accepted,alpha_error,alpha_error_pct,latent_slope,cluster_count,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,profile,seed,device,train_source_ids,validation_source_ids,test_source_ids,degradation_pp,execution_device
none,0.08156627951105495,0.9716467723750329,True,0.0195784938881869,1.95784938881869,0.08156627951105495,16,checkpoints/artifact_none_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,757faec132625025e83e2278bb85c2a603bbbdf251bdf8d07ec099733f13baa2,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,0.0,cuda
none,0.08282205675579268,0.9852839048660714,True,0.03527570944740852,3.527570944740852,0.08282205675579268,16,checkpoints/artifact_none_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,9f99578755f2d6b5708fba33482ffb68d82381f15c089d38e835f980c4ca26c6,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,0.0,cuda
none,0.09773685045508777,0.9866873693539118,True,0.22171063068859714,22.171063068859713,0.09773685045508777,16,checkpoints/artifact_none_seed2.pt,3b902c52c42f3831b20a76fa38b0710efe617a761ec7480f7b13cff8028e8bfa,6b334f606c7e6f7f4656eea2c421cb29486120250707dfa26668515f5633ba4d,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,0.0,cuda
contact_drift,0.08260641823467933,0.9783463394981018,True,0.032580227933491634,3.2580227933491637,0.08260641823467933,16,checkpoints/artifact_contact_drift_seed0.pt,a455d5e240d4a3dbd1b29d32ae5e5bbaa660f5a7de5ea02e3ee9df570ad4d3f3,0bff107950a6bd82dd030dcd8d0572df6706a802c92e04271fd43feaa8542fa4,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactcontact_drift;driver-123-tau0.05-heat800-artifactcontact_drift;driver-456-tau0.05-heat800-artifactcontact_drift;driver-7-tau0.05-heat800-artifactcontact_drift;driver-99-tau0.05-heat800-artifactcontact_drift,driver-999-tau0.05-heat800-artifactcontact_drift,driver-777-tau0.05-heat800-artifactcontact_drift;driver-888-tau0.05-heat800-artifactcontact_drift;driver-555-tau0.05-heat800-artifactcontact_drift,1.3001734045304736,cuda
contact_drift,0.06490646453763155,0.9473868317518908,True,0.18866919327960568,18.86691932796057,0.06490646453763155,16,checkpoints/artifact_contact_drift_seed1.pt,c0f8469636ffd8285b34f2a9b099d707182fe33bd551ff09267e1b81b21762ef,533c9ae3df39533a263f188a314055bb1c0d971e7d4588fb49162f630cf2e715,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactcontact_drift;driver-123-tau0.05-heat800-artifactcontact_drift;driver-456-tau0.05-heat800-artifactcontact_drift;driver-7-tau0.05-heat800-artifactcontact_drift;driver-99-tau0.05-heat800-artifactcontact_drift,driver-999-tau0.05-heat800-artifactcontact_drift,driver-777-tau0.05-heat800-artifactcontact_drift;driver-888-tau0.05-heat800-artifactcontact_drift;driver-555-tau0.05-heat800-artifactcontact_drift,15.339348383219718,cuda
contact_drift,0.06684929481038078,0.9477915275702853,True,0.16438381487024026,16.438381487024024,0.06684929481038078,16,checkpoints/artifact_contact_drift_seed2.pt,9c2961a693dc492a6ffc0f980edb37e08dbe4d0b4709128c220c73bb2d6b2e60,bc65152ed1940c07cee260f62d38ec5f478a53cdadee5ea4282adeafb48e5a93,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactcontact_drift;driver-123-tau0.05-heat800-artifactcontact_drift;driver-456-tau0.05-heat800-artifactcontact_drift;driver-7-tau0.05-heat800-artifactcontact_drift;driver-99-tau0.05-heat800-artifactcontact_drift,driver-999-tau0.05-heat800-artifactcontact_drift,driver-777-tau0.05-heat800-artifactcontact_drift;driver-888-tau0.05-heat800-artifactcontact_drift;driver-555-tau0.05-heat800-artifactcontact_drift,-5.732681581835688,cuda
read_noise,0.0842348852195199,0.9898966212730788,True,0.0529360652439987,5.29360652439987,0.0842348852195199,16,checkpoints/artifact_read_noise_seed0.pt,56efbc452a2bef71d3a030210bbda4f1b115bc2090b9060c0bbe429899640b5c,a97d3a9dba4065de6c622fb1599efa753b3f44116aeccef63ecbb547fa8994ef,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactread_noise;driver-123-tau0.05-heat800-artifactread_noise;driver-456-tau0.05-heat800-artifactread_noise;driver-7-tau0.05-heat800-artifactread_noise;driver-99-tau0.05-heat800-artifactread_noise,driver-999-tau0.05-heat800-artifactread_noise,driver-777-tau0.05-heat800-artifactread_noise;driver-888-tau0.05-heat800-artifactread_noise;driver-555-tau0.05-heat800-artifactread_noise,3.3357571355811797,cuda
read_noise,0.08187981338822327,0.9775003504089038,True,0.023497667352790838,2.3497667352790836,0.08187981338822327,16,checkpoints/artifact_read_noise_seed1.pt,94a7a85dc21dd31b8b0fce0cefe27aa9a3da1fda4cac5f19f91016b732312856,31f301deeb62af4fc1f2aba2adb7e052e404d5c585d93adfadd6e51a34fb0a27,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactread_noise;driver-123-tau0.05-heat800-artifactread_noise;driver-456-tau0.05-heat800-artifactread_noise;driver-7-tau0.05-heat800-artifactread_noise;driver-99-tau0.05-heat800-artifactread_noise,driver-999-tau0.05-heat800-artifactread_noise,driver-777-tau0.05-heat800-artifactread_noise;driver-888-tau0.05-heat800-artifactread_noise;driver-555-tau0.05-heat800-artifactread_noise,-1.1778042094617684,cuda
read_noise,0.0867482737594051,0.9349341359775822,True,0.08435342199256367,8.435342199256366,0.0867482737594051,8,checkpoints/artifact_read_noise_seed2.pt,6b0b40a65becda28248e8202eae7ca1c698ff0df671d2e680fed1bfc8c7d1448,059015df333e6609838b536c0923f600731b0394d328d6cf8990bed60b2a4bc7,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,final,2,cuda,driver-42-tau0.05-heat800-artifactread_noise;driver-123-tau0.05-heat800-artifactread_noise;driver-456-tau0.05-heat800-artifactread_noise;driver-7-tau0.05-heat800-artifactread_noise;driver-99-tau0.05-heat800-artifactread_noise,driver-999-tau0.05-heat800-artifactread_noise,driver-777-tau0.05-heat800-artifactread_noise;driver-888-tau0.05-heat800-artifactread_noise;driver-555-tau0.05-heat800-artifactread_noise,-13.735720869603346,cuda
amplitude_jitter,0.0653306278109089,0.8427360140807219,False,0.1833671523636388,18.33671523636388,0.0653306278109089,16,checkpoints/artifact_amplitude_jitter_seed0.pt,8130cd96c48b623d494165f15478899824fe626aa6dc0ae7c091a874ba624caa,a08a2cb05434fea37ab17a37cbdd7cd8f7e19df04a7c934380a93a220db95f83,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactamplitude_jitter;driver-123-tau0.05-heat800-artifactamplitude_jitter;driver-456-tau0.05-heat800-artifactamplitude_jitter;driver-7-tau0.05-heat800-artifactamplitude_jitter;driver-99-tau0.05-heat800-artifactamplitude_jitter,driver-999-tau0.05-heat800-artifactamplitude_jitter,driver-777-tau0.05-heat800-artifactamplitude_jitter;driver-888-tau0.05-heat800-artifactamplitude_jitter;driver-555-tau0.05-heat800-artifactamplitude_jitter,16.37886584754519,cuda
