dataset,mode,seed,detected_symmetry,encoded_symmetry,confidence,odd_score,even_score,matched_pairs,final_train_loss,validation_mse,test_mse,symmetry_encoded_in_weights,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,train_source_ids,validation_source_ids,test_source_ids,profile,execution_device,device
printed_memristor_training_data.csv,baseline_random,42,none,none,0.0,0.0,0.0,5568,1.0434458545350935,1.074287353515625,1.0811375732421875,False,checkpoints/symmetry_baseline_random_seed42.pt,8b83c0f02746464b27b9210c1b542ff5b7ebf9fbb63fd493978adb8c9a190c8b,b95ab80629e6d5c5cd69ef7ee23f49f5b3d658b8b9cfedd4290615542e7b0d05,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
printed_memristor_training_data.csv,baseline_random,123,none,none,0.0,0.0,0.0,5568,1.0416752631426789,1.0728316040039063,1.0796427001953126,False,checkpoints/symmetry_baseline_random_seed123.pt,bb40760cbaf17af56c2a0daf2778de1def4178fd68bced113b18a6bc8c1656eb,ff781533ebd3bd5f814961c281765d1ebdf3177f0f190225c508305d0ddea793,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
printed_memristor_training_data.csv,baseline_random,456,none,none,0.0,0.0,0.0,5568,1.0482769451773493,1.07052978515625,1.0772783813476563,False,checkpoints/symmetry_baseline_random_seed456.pt,72c77d4f219f755195a7538f7505ef80d31d29e74f84eb5e588dc06e01dee2f4,afd8fe75727238c251ef8c634eefa8e227582fb9eb894a37854963dd20857b00,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
printed_memristor_training_data.csv,baseline_random,789,none,none,0.0,0.0,0.0,5568,1.0499227761320071,1.0713228759765625,1.0780930786132812,False,checkpoints/symmetry_baseline_random_seed789.pt,1754a914604eac8d2646e6de3fa97e10f6a76698f1a7f37ca069e702e493755e,18e985e34fcd88e3dedcb712910561a737f691e85317f3e9d69ac444dfb53f9e,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
printed_memristor_training_data.csv,baseline_random,1000,none,none,0.0,0.0,0.0,5568,1.038753849294153,1.0711260375976563,1.0778909301757813,False,checkpoints/symmetry_baseline_random_seed1000.pt,7d57fbc2dd5bd84412e8e51c0905b0a7b3f5d3a4ee84e361ea56acedb3b8931c,6418eba4bff5eccdccc16928018f9d14d54932e1042ba1bde876f556c58a862c,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
printed_memristor_training_data.csv,identity,42,none,none,0.0,0.0,0.0,5568,0.014086720867908298,0.021020586967468263,0.02356064510345459,False,checkpoints/symmetry_identity_seed42.pt,186ad067e270f2abd53642bc2c52085d20ca50b9c21fb547f5207b79ecfb6370,8e335006dc9a2c4076b56e3190a2123dfd2083ff8a1951dbb08312ee1def008a,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
printed_memristor_training_data.csv,identity,123,none,none,0.0,0.0,0.0,5568,0.015819629976590477,0.021537103652954102,0.024788207054138183,False,checkpoints/symmetry_identity_seed123.pt,90f0ac8b7739953daf738233d4f8e45245bd41d1999989f09e144d9ffd328c37,3d75a4ee751ebfdd70624cde7b5699e80f38109b668bab3ccf84423b9689bc6b,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
printed_memristor_training_data.csv,identity,456,none,none,0.0,0.0,0.0,5568,0.018600278391261327,0.023109333992004395,0.02659708786010742,False,checkpoints/symmetry_identity_seed456.pt,b1a069cf6433ba061afeb4ed9de4fa3e9fdfd3242c1dfedbf373f2d0e201ce5d,014f7e4f859c146d21e7437dbb06b81e0f7887a962f2d35ccbc33ebf848abec9,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
printed_memristor_training_data.csv,identity,789,none,none,0.0,0.0,0.0,5568,0.023145781430571333,0.0250867977142334,0.028391419410705568,False,checkpoints/symmetry_identity_seed789.pt,bf70fdff3999d5efcd7b2bcd11daa920d0203c45d78710cd65247deb243d4baf,58f9d3281a42db5eecbb5d0aef7cda823a294ec39a7c512f96961b2afa9732a4,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
printed_memristor_training_data.csv,identity,1000,none,none,0.0,0.0,0.0,5568,0.023142480026137946,0.034894216537475584,0.03741614532470703,False,checkpoints/symmetry_identity_seed1000.pt,f42d3245c073ed94fafb6184313f260cfd8c301a7db5de3030a77d0d823e0de3,bb321eca650630f0ec1ec7e738d42613ac56bd79b99521b173736574f90c26e1,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,printed-device-0;printed-device-1;printed-device-2,printed-device-3,printed-device-4,final,cuda,cuda
