method,seed,alpha_rec,r2,accepted,validation_mse,test_mse,effective_values,cluster_count,manual_choices,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,train_source_ids,validation_source_ids,test_source_ids,profile,execution_device,device
full_bic,0,0.08156627951105495,0.9716467723750329,True,0.0767264347152406,0.016333111412180055,16,16,0,checkpoints/bic_structural_full_bic_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,f1a0c133a0d9cea2a076bd40af0fd4ac35c10065e0de969b40643eeddc3aa787,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
full_bic,1,0.08282205675579268,0.9852839048660714,True,0.02988463094034993,0.03546858593762158,16,16,0,checkpoints/bic_structural_full_bic_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,d994aba733138450287a34db297d44b287528e9ad41b888f17962ed3da710c92,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
full_bic,2,0.09773685045508777,0.9866873693539118,True,0.02487843730060228,0.022193880828411613,16,16,0,checkpoints/bic_structural_full_bic_seed2.pt,3b902c52c42f3831b20a76fa38b0710efe617a761ec7480f7b13cff8028e8bfa,a98116dbd384a3cb223f6f8929a52e7085d9d8d7c84601fe889d0194322ea672,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
no_bic,0,0.0802108851776369,0.9700445918113741,True,0.09309067289192838,0.025612603145766542,273,,1,checkpoints/bic_structural_no_bic_seed0.pt,cca697e6f51d11b348344381c871ec333ce30c4faa5b9f9b6d992247afdf2ea5,69b3d44a6209fae2bca2f5f9de2682b0673f79ff9da7cb3b73908df2d8c2ce9d,RecurrentStudent,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 273}",273,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
no_bic,1,0.08385228151526414,0.9936835386355579,True,0.049960326388537646,0.0579786579289126,273,,1,checkpoints/bic_structural_no_bic_seed1.pt,55bc1b7b40783644b08412ff195ad44f7b71be200ab5d68137ca4c3f2a1b5d49,488dd57fd98cd25c6c4beff06194a1159a224751d958c619a7cab54150cc9011,RecurrentStudent,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 273}",273,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
no_bic,2,0.08457419450676101,0.9861067656042728,True,0.07187233123171377,0.10263959471764635,273,,1,checkpoints/bic_structural_no_bic_seed2.pt,8be1531ccc4c10bf8ae3327f6cf56977a444a9481c9c559d400894ae792557f7,b1cf7280420779e7f61b41a2da015469ab911d78c93a7f86dc7a0f91ff8cdbbc,RecurrentStudent,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 273}",273,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
l1,0,0.08003741055889003,0.9683283776616728,True,0.09913987087538517,0.02883035981480977,273,,1,checkpoints/bic_structural_l1_seed0.pt,b6c6dd60239e111b64066155960c52589ae690f4cb0c8ef878d3b2e11ee999d5,ca21e78bb7fc00a17e3423667b44d639b55ae7dd8324620aa529885831ba8e9e,RecurrentStudent,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 273}",273,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
l1,1,0.08395529066906297,0.9937801263114263,True,0.05464994954872891,0.0649139725987813,273,,1,checkpoints/bic_structural_l1_seed1.pt,ada94db7e3d30a4656c8b89c2aaf69412c371e0df75eaa8fb423f28ee747cafa,57cb149e20ffc1cace516a2e6fb8a6352b504f9f836a9542e0be1fe09696fe31,RecurrentStudent,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 273}",273,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
l1,2,0.08457310455305155,0.9861063566937173,True,0.07192256821104255,0.10272211224276073,273,,1,checkpoints/bic_structural_l1_seed2.pt,e8ad8339f75ad77f26c9ff9fcf807d5feafbdd195b8f79d8f853c94a61a13ad6,29cb8af76cbf1bee69da7ebfbdceb79e10d0e049a2db323448705e9e8b56b1ca,RecurrentStudent,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 273}",273,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
l2,0,0.08009580984225992,0.968906192783725,True,0.09710642446084801,0.027737705514408836,273,,1,checkpoints/bic_structural_l2_seed0.pt,579277b8638423e85941006be3d3a96be821bfbb7877355bdee78f0705e2d131,fb148dce663b7560ea51417e92921600268f12a7f1b1d76dbfc0e801dcdfa38e,RecurrentStudent,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 273}",273,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda
