student_type,hidden_size,rank,seed,measured_device,sheet,training_mode,correlation,nrmse,validation_mse,test_mse,cluster_count,effective_trainable_values,expanded_parameters,expanded_parameter_bytes,serialized_artifact_bytes,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,runtime_s,train_source_ids,validation_source_ids,test_source_ids,profile,execution_device,bic_requested_cluster_count,bic_score,device
teacher,64,,0,GO-PEI4,1p0_400mvs,direct_supervised_reference,0.9994071864617774,0.015550355702929978,0.0004368387990527683,0.000666288600768894,,45585,45585,182340,,checkpoints/compression_direct_teacher_seed0.pt,ceb971086e6539ed6569e710d4e182ac585db6886bbdf93635ef0576bd07827e,c6d7513950214af7eb38d3e1660b98f47bba33232e9cab83ccaafa145a09fcf5,PsiXLSTMTeacher,"{""block_widths"": [32, 64], ""class"": ""PsiXLSTMTeacher"", ""hidden_size"": 64, ""input_size"": 2, ""output_size"": 1, ""parameters"": 45585}",45585,380.4893489999231,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,,,cuda
gru,2,,0,GO-PEI4,1p0_400mvs,direct_supervised,0.9939601674046336,0.04496466095041957,0.006581096909940243,0.005570888053625822,16,16,39,156,14188,checkpoints/compression_direct_gru_h2_r0_seed0.pt,eea65ad49d1061392ffa2173c38397a034ff771bcdd7611f044e0e93860856ca,9bd7dd77aaab93ffc835b9cedc879d967fc11e3294f466eb9b299642c169a6eb,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 2, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 55}",55,8.168743300018832,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,16,-1271.6689453125,cuda
gru,4,,0,GO-PEI4,1p0_400mvs,direct_supervised,0.9829175069855023,0.16580355465297572,0.07357241213321686,0.07574769854545593,4,4,101,404,15672,checkpoints/compression_direct_gru_h4_r0_seed0.pt,804c47e9a23a3172cd9405d14d12b504baab7815dbbda6c7ab65a26579ca7dfb,b67a557731a9c9aab6be4a62bd6f034a2b28a453ceca3387676e157c1f5206c0,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 4, ""input_size"": 2, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 105}",105,8.169220099924132,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,4,-682.1672973632812,cuda
gru,8,,0,GO-PEI4,1p0_400mvs,direct_supervised,0.9939271452289405,0.08167410640479403,0.017341595143079758,0.018380213528871536,16,16,297,1188,16504,checkpoints/compression_direct_gru_h8_r0_seed0.pt,bdeb7ccef2bd01bd3430a7a450919962913cd740d84704993f836b43e6908067,6eb32fa22a4f0f954ee4f15ecad284505d3da2d7809ca2016ac71beb6fab456e,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 313}",313,8.434117599856108,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,16,-1006.3709106445312,cuda
gru,16,,0,GO-PEI4,1p0_400mvs,direct_supervised,0.9963045151035024,0.060385535307576836,0.012159605510532856,0.01004725880920887,16,16,977,3908,19405,checkpoints/compression_direct_gru_h16_r0_seed0.pt,5865e5b7e75d4db661f6f2e38f9dc1f28b7e5b08ed5a94c2c9ce57544300958e,a32a89aa67c81fdc0cbab2b557ac7e4970fddb7a0dcc4c142f7d0a03d613cf5b,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,8.200369300087914,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,16,-1118.91064453125,cuda
gru,32,,0,GO-PEI4,1p0_400mvs,direct_supervised,0.9983523468261224,0.024730660883768373,0.0015390112530440092,0.0016852067783474922,16,16,3489,13956,29457,checkpoints/compression_direct_gru_h32_r0_seed0.pt,57869f9af00c4638ab793d453d8f97e4d269301bd5ebec10a4e78d5a235f1f02,844c1cda294394c69a0bc3973420e82470ee7da73f1966796fa12a986923d028,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 32, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 3505}",3505,7.88745340006426,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,16,-1692.7982177734375,cuda
gru,64,,0,GO-PEI4,1p0_400mvs,direct_supervised,0.996055286962929,0.038268317897343244,0.003347742138430476,0.0040351576171815395,8,8,13121,52484,67987,checkpoints/compression_direct_gru_h64_r0_seed0.pt,d5b943e2a9eb1ef6b537cdf6b58cdc0a7788caa699e10a9d9ea3de8c11996394,de2ef552236134e69c5591a888466a1dce66b71d2ebb6d2a35fed01b8bdf4a04,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 64, ""input_size"": 2, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 13129}",13129,8.076357800047845,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,8,-1504.3126220703125,cuda
low_rank,8,1,0,GO-PEI4,1p0_400mvs,direct_supervised,0.9939457227975527,0.038734323988609695,0.0037536125164479017,0.004134030546993017,16,16,28,112,9851,checkpoints/compression_direct_low_rank_h8_r1_seed0.pt,eadbf7e86836055c43934d5bd0dc1bbd45379ecd694b4926a9480678429a175b,e799724e2d5ecc91a7bf7a0a2dd6d7590a83395f4be0d800b2f16f4c99c1ef32,GloballyClusteredModel,"{""class"": ""LowRankRecurrentStudent"", ""hidden_size"": 8, ""input_size"": 2, ""materialized_cluster_count"": 16, ""output_size"": 1, ""parameters"": 44, ""rank"": 1}",44,38.636100800009444,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,16,-1464.82568359375,cuda
low_rank,8,2,0,GO-PEI4,1p0_400mvs,direct_supervised,0.9924615731628982,0.0498518204961387,0.008448050357401371,0.0068476852029562,4,4,47,188,10145,checkpoints/compression_direct_low_rank_h8_r2_seed0.pt,a239c2653e5e82713723dd31db8050baafbd3768544ed58599f98ce04b960515,1cd1ab92608ae69936329f98934bbcbb2301e7e56ee8d69aebbf6ade9eee1608,GloballyClusteredModel,"{""class"": ""LowRankRecurrentStudent"", ""hidden_size"": 8, ""input_size"": 2, ""materialized_cluster_count"": 4, ""output_size"": 1, ""parameters"": 51, ""rank"": 2}",51,37.85233729984611,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,4,-1266.5384521484375,cuda
low_rank,8,4,0,GO-PEI4,1p0_400mvs,direct_supervised,0.9943410658197678,0.061901638878668654,0.008505627512931824,0.010558106936514378,16,16,85,340,10273,checkpoints/compression_direct_low_rank_h8_r4_seed0.pt,c7159ddd5f335bf9bd581a7fe2bd815ad43566176c4c3279fd5083b3c15fe5d1,6cf778ff6a136a4791218a2c781d2d76057e649919cb489c1339a4998d121a76,GloballyClusteredModel,"{""class"": ""LowRankRecurrentStudent"", ""hidden_size"": 8, ""input_size"": 2, ""materialized_cluster_count"": 16, ""output_size"": 1, ""parameters"": 101, ""rank"": 4}",101,37.673453900031745,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,16,-1245.104736328125,cuda
