source_device,target_device,seed,correlation,nrmse,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,train_source_ids,validation_source_ids,test_source_ids,profile,execution_device,device,cluster_count
GO-PDADMAC4,GO-PDADMAC4,0,0.9945551676256531,0.045526754076925725,checkpoints/cross_device_GO-PDADMAC4_seed0.pt,8da4e7569bb24b5927325785e2895dfb68af8e2de03424c46588b529745fc997,0cdcf399895f48dc3aa56fe20d752b4964301758783c557f6dba82bdeb07d7ef,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PDADMAC4,GO-PEI3,0,0.9625214581611508,0.10431671080479729,checkpoints/cross_device_GO-PDADMAC4_seed0.pt,8da4e7569bb24b5927325785e2895dfb68af8e2de03424c46588b529745fc997,0cdcf399895f48dc3aa56fe20d752b4964301758783c557f6dba82bdeb07d7ef,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PEI3-1p0_400mvs-cycle-9;GO-PEI3-1p0_400mvs-cycle-10;GO-PEI3-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PDADMAC4,GO-PEI4,0,0.9885892236425801,0.06752475390814947,checkpoints/cross_device_GO-PDADMAC4_seed0.pt,8da4e7569bb24b5927325785e2895dfb68af8e2de03424c46588b529745fc997,0cdcf399895f48dc3aa56fe20d752b4964301758783c557f6dba82bdeb07d7ef,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PDADMAC4,GO-PDADMAC4,1,0.9982413304024448,0.018508886238148888,checkpoints/cross_device_GO-PDADMAC4_seed1.pt,80ab7220d2bc19e4e53fc90beb052064f3ac2606530eeaece4c9245ad8fc846b,507be8731c859bb74a5a4974f360ad10162f02d0d5c1b28839f3b9b7b03a8c38,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PDADMAC4,GO-PEI3,1,0.9801242165240908,0.07744394418573033,checkpoints/cross_device_GO-PDADMAC4_seed1.pt,80ab7220d2bc19e4e53fc90beb052064f3ac2606530eeaece4c9245ad8fc846b,507be8731c859bb74a5a4974f360ad10162f02d0d5c1b28839f3b9b7b03a8c38,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PEI3-1p0_400mvs-cycle-9;GO-PEI3-1p0_400mvs-cycle-10;GO-PEI3-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PDADMAC4,GO-PEI4,1,0.9968402247998032,0.03630366086128655,checkpoints/cross_device_GO-PDADMAC4_seed1.pt,80ab7220d2bc19e4e53fc90beb052064f3ac2606530eeaece4c9245ad8fc846b,507be8731c859bb74a5a4974f360ad10162f02d0d5c1b28839f3b9b7b03a8c38,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PDADMAC4,GO-PDADMAC4,2,0.9990901390487383,0.03628000237630714,checkpoints/cross_device_GO-PDADMAC4_seed2.pt,67cb2765749ea7469a796e69be7c8261f678f53f4dbdda39050d1b3f016eb6f8,9814bbddaf02143d8b59f0d866ecb0c473045ce00cba2f7b10fb68e708f9405f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PDADMAC4,GO-PEI3,2,0.9801519234327972,0.08261972529000715,checkpoints/cross_device_GO-PDADMAC4_seed2.pt,67cb2765749ea7469a796e69be7c8261f678f53f4dbdda39050d1b3f016eb6f8,9814bbddaf02143d8b59f0d866ecb0c473045ce00cba2f7b10fb68e708f9405f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PEI3-1p0_400mvs-cycle-9;GO-PEI3-1p0_400mvs-cycle-10;GO-PEI3-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PDADMAC4,GO-PEI4,2,0.9975398754190302,0.04512752757216177,checkpoints/cross_device_GO-PDADMAC4_seed2.pt,67cb2765749ea7469a796e69be7c8261f678f53f4dbdda39050d1b3f016eb6f8,9814bbddaf02143d8b59f0d866ecb0c473045ce00cba2f7b10fb68e708f9405f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI3,GO-PDADMAC4,0,0.9791721621749307,0.09125854117217293,checkpoints/cross_device_GO-PEI3_seed0.pt,a3ff3ad5e17ea048ab857ab8363c3a122fad79529ce468ce3bcc46e1490e183c,124c7de213afc6eb44a935aa6fed23ef25023fb3c7b9fc6f1b2da9ff9331b41f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,cuda,16
