device,train_sheet,validation_sheet,test_sheet,seed,correlation,nrmse,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,train_source_ids,validation_source_ids,test_source_ids,profile,execution_device,cluster_count
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_400mvs,0,0.9945551676256531,0.045526754076925725,checkpoints/cross_rate_GO-PDADMAC4_seed0.pt,8da4e7569bb24b5927325785e2895dfb68af8e2de03424c46588b529745fc997,aad71599a447d77a7240e8f5cc65d9150675b1deb43c94c5f28481cdb31a0378,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,16
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_200mvs,0,0.9678129146593495,0.10354104861766403,checkpoints/cross_rate_GO-PDADMAC4_seed0.pt,8da4e7569bb24b5927325785e2895dfb68af8e2de03424c46588b529745fc997,aad71599a447d77a7240e8f5cc65d9150675b1deb43c94c5f28481cdb31a0378,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_200mvs-cycle-1;GO-PDADMAC4-1p0_200mvs-cycle-2;GO-PDADMAC4-1p0_200mvs-cycle-3;GO-PDADMAC4-1p0_200mvs-cycle-4;GO-PDADMAC4-1p0_200mvs-cycle-5;GO-PDADMAC4-1p0_200mvs-cycle-6;GO-PDADMAC4-1p0_200mvs-cycle-7;GO-PDADMAC4-1p0_200mvs-cycle-8;GO-PDADMAC4-1p0_200mvs-cycle-9;GO-PDADMAC4-1p0_200mvs-cycle-10;GO-PDADMAC4-1p0_200mvs-cycle-11,final,cuda,16
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_100mvs,0,0.964365029635703,0.10559838863711697,checkpoints/cross_rate_GO-PDADMAC4_seed0.pt,8da4e7569bb24b5927325785e2895dfb68af8e2de03424c46588b529745fc997,aad71599a447d77a7240e8f5cc65d9150675b1deb43c94c5f28481cdb31a0378,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_100mvs-cycle-1;GO-PDADMAC4-1p0_100mvs-cycle-2;GO-PDADMAC4-1p0_100mvs-cycle-3;GO-PDADMAC4-1p0_100mvs-cycle-4;GO-PDADMAC4-1p0_100mvs-cycle-5;GO-PDADMAC4-1p0_100mvs-cycle-6;GO-PDADMAC4-1p0_100mvs-cycle-7;GO-PDADMAC4-1p0_100mvs-cycle-8;GO-PDADMAC4-1p0_100mvs-cycle-9;GO-PDADMAC4-1p0_100mvs-cycle-10;GO-PDADMAC4-1p0_100mvs-cycle-11,final,cuda,16
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_50mvs,0,0.9655325967993837,0.10384910394199004,checkpoints/cross_rate_GO-PDADMAC4_seed0.pt,8da4e7569bb24b5927325785e2895dfb68af8e2de03424c46588b529745fc997,aad71599a447d77a7240e8f5cc65d9150675b1deb43c94c5f28481cdb31a0378,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_50mvs-cycle-1;GO-PDADMAC4-1p0_50mvs-cycle-2;GO-PDADMAC4-1p0_50mvs-cycle-3;GO-PDADMAC4-1p0_50mvs-cycle-4;GO-PDADMAC4-1p0_50mvs-cycle-5;GO-PDADMAC4-1p0_50mvs-cycle-6;GO-PDADMAC4-1p0_50mvs-cycle-7;GO-PDADMAC4-1p0_50mvs-cycle-8;GO-PDADMAC4-1p0_50mvs-cycle-9,final,cuda,16
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_400mvs,1,0.9982413304024448,0.018508886238148888,checkpoints/cross_rate_GO-PDADMAC4_seed1.pt,80ab7220d2bc19e4e53fc90beb052064f3ac2606530eeaece4c9245ad8fc846b,4d74f2f9ce778e0308cd8ea8206cd71cafc0dfa668d85e61078de647c6019c9f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,16
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_200mvs,1,0.9850368637127619,0.0736944138634156,checkpoints/cross_rate_GO-PDADMAC4_seed1.pt,80ab7220d2bc19e4e53fc90beb052064f3ac2606530eeaece4c9245ad8fc846b,4d74f2f9ce778e0308cd8ea8206cd71cafc0dfa668d85e61078de647c6019c9f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_200mvs-cycle-1;GO-PDADMAC4-1p0_200mvs-cycle-2;GO-PDADMAC4-1p0_200mvs-cycle-3;GO-PDADMAC4-1p0_200mvs-cycle-4;GO-PDADMAC4-1p0_200mvs-cycle-5;GO-PDADMAC4-1p0_200mvs-cycle-6;GO-PDADMAC4-1p0_200mvs-cycle-7;GO-PDADMAC4-1p0_200mvs-cycle-8;GO-PDADMAC4-1p0_200mvs-cycle-9;GO-PDADMAC4-1p0_200mvs-cycle-10;GO-PDADMAC4-1p0_200mvs-cycle-11,final,cuda,16
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_100mvs,1,0.9824365280945528,0.07644885581430894,checkpoints/cross_rate_GO-PDADMAC4_seed1.pt,80ab7220d2bc19e4e53fc90beb052064f3ac2606530eeaece4c9245ad8fc846b,4d74f2f9ce778e0308cd8ea8206cd71cafc0dfa668d85e61078de647c6019c9f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_100mvs-cycle-1;GO-PDADMAC4-1p0_100mvs-cycle-2;GO-PDADMAC4-1p0_100mvs-cycle-3;GO-PDADMAC4-1p0_100mvs-cycle-4;GO-PDADMAC4-1p0_100mvs-cycle-5;GO-PDADMAC4-1p0_100mvs-cycle-6;GO-PDADMAC4-1p0_100mvs-cycle-7;GO-PDADMAC4-1p0_100mvs-cycle-8;GO-PDADMAC4-1p0_100mvs-cycle-9;GO-PDADMAC4-1p0_100mvs-cycle-10;GO-PDADMAC4-1p0_100mvs-cycle-11,final,cuda,16
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_50mvs,1,0.98349991362294,0.07490764449617084,checkpoints/cross_rate_GO-PDADMAC4_seed1.pt,80ab7220d2bc19e4e53fc90beb052064f3ac2606530eeaece4c9245ad8fc846b,4d74f2f9ce778e0308cd8ea8206cd71cafc0dfa668d85e61078de647c6019c9f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_50mvs-cycle-1;GO-PDADMAC4-1p0_50mvs-cycle-2;GO-PDADMAC4-1p0_50mvs-cycle-3;GO-PDADMAC4-1p0_50mvs-cycle-4;GO-PDADMAC4-1p0_50mvs-cycle-5;GO-PDADMAC4-1p0_50mvs-cycle-6;GO-PDADMAC4-1p0_50mvs-cycle-7;GO-PDADMAC4-1p0_50mvs-cycle-8;GO-PDADMAC4-1p0_50mvs-cycle-9,final,cuda,16
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_400mvs,2,0.9990901390487383,0.03628000237630714,checkpoints/cross_rate_GO-PDADMAC4_seed2.pt,67cb2765749ea7469a796e69be7c8261f678f53f4dbdda39050d1b3f016eb6f8,7bbeaa089e8aaa162757a28fd34bcea09c33029820a316fa781bb1bd6e74c8d8,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,16
GO-PDADMAC4,1p0_400mvs,1p0_400mvs,1p0_200mvs,2,0.9843779692436897,0.08059920848008145,checkpoints/cross_rate_GO-PDADMAC4_seed2.pt,67cb2765749ea7469a796e69be7c8261f678f53f4dbdda39050d1b3f016eb6f8,7bbeaa089e8aaa162757a28fd34bcea09c33029820a316fa781bb1bd6e74c8d8,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_200mvs-cycle-1;GO-PDADMAC4-1p0_200mvs-cycle-2;GO-PDADMAC4-1p0_200mvs-cycle-3;GO-PDADMAC4-1p0_200mvs-cycle-4;GO-PDADMAC4-1p0_200mvs-cycle-5;GO-PDADMAC4-1p0_200mvs-cycle-6;GO-PDADMAC4-1p0_200mvs-cycle-7;GO-PDADMAC4-1p0_200mvs-cycle-8;GO-PDADMAC4-1p0_200mvs-cycle-9;GO-PDADMAC4-1p0_200mvs-cycle-10;GO-PDADMAC4-1p0_200mvs-cycle-11,final,cuda,16
