source_count,noise_pct,alpha_true,alpha_rec,r2,accepted,alpha_error,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,profile,seed,device,train_source_ids,validation_source_ids,test_source_ids,execution_device,cluster_count
1,0,0.08,0.07376803658072627,0.8434067271612049,False,0.07789954274092167,checkpoints/detection_sources1_noise0_seed0.pt,25cf74cbb7f09290241942e4e89005563f6ec6c2f4d4ecfb7552c2efd7c6ff8f,be5832fdc9a4b82011c16fb9a8df68ee8459bc0009d59127a487d23c91998c82,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
1,0,0.08,0.0656894826884195,0.8722362231353539,True,0.17888146639475633,checkpoints/detection_sources1_noise0_seed1.pt,e2c36672ea537da5981a846c19adcfed5a8d83ae2ef8a71b68a528a7aedfed40,4bdce209906c6ab5a923002e3387025e6ab21cdc8a83834a3a8fa9be4c7006cb,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
1,0,0.08,0.05711803122644615,0.8310020739862974,False,0.2860246096694231,checkpoints/detection_sources1_noise0_seed2.pt,5f854d5d55c4a071e6befa95f7372ee9ecdb3f2ca995e91818bfa2bacdfcfbaf,db8e7392caa0dc75a0224f0eabb4e0562c3a304acdea40b2cba86045dd05bc23,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
1,1,0.08,0.06595913632003277,0.7378015607498165,False,0.17551079599959044,checkpoints/detection_sources1_noise1_seed0.pt,db9fbf37d76a5090235a7905b74c49fab79fa7abf436928be63b61cceadda27e,d0417ea73e44c42055e13ca9f6572da7b4960d73951ab8ce6bad0ed74a466d00,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 277}",277,final,0,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,4
1,1,0.08,0.07078517377934933,0.9042246805859543,True,0.11518532775813342,checkpoints/detection_sources1_noise1_seed1.pt,ee70c8562d8679b9b547a024e3df94f69fa7355d183cb9ad23454b467b6e07db,9e7d5f53ff25f1bf10d9a88578f22a13cb1380f4384af9f38a37c830105c9e32,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
1,1,0.08,0.05980972611792799,0.6551637019186024,False,0.2523784235259002,checkpoints/detection_sources1_noise1_seed2.pt,f1042db1bfe3d712bac2ce9b3fa86d7e7c1e745406f277a38b5fff1d220196fd,785d341d4d1b30f7a2e22920bb1e70e675cf4e20b20ad9b861805b4420ed07c0,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,final,2,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,8
1,3,0.08,0.04222713366613761,0.6516901908668876,False,0.4721608291732799,checkpoints/detection_sources1_noise3_seed0.pt,144e60545d2f3924e58861e25483f6cfcc4ba61fd704683a4cc03aa1040d7b57,0eef985013cea62e7236a3c3b324dda09e9a96cc541de14e23cfdb318586b69c,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,final,0,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,8
1,3,0.08,0.05376024873063062,0.7962590313851433,False,0.32799689086711725,checkpoints/detection_sources1_noise3_seed1.pt,891587096193a79a6caacd0159185c38510f5b2500ed182e925a0c4dd718621a,1681d721df97ea3432b31af92a6cf4a04a8bd4182ccdf456e99b38820630ff1a,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 277}",277,final,1,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,4
1,3,0.08,0.062098800055799486,0.8253036775247148,False,0.22376499930250646,checkpoints/detection_sources1_noise3_seed2.pt,c3725ae999a37cc03a3216927ea56175ea4094a9d9a0f9c57a6b30d36d880222,14737d1519197aabc0f409a4af01027cae41ea2f1aaed9a9d88f6bfc3ac27746,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
1,5,0.08,0.06646110961563677,0.8458081662581877,False,0.16923612980454042,checkpoints/detection_sources1_noise5_seed0.pt,b5af6aec06239ccc433210d409c1dc5aa8a066256b653dba20946e616428d27c,fdda72ebf04d7751d9c4e53e3b7cec960e327ee909f9c11708563e1ed9c6419f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
