experiment,status,figure,table,execution_device
latent_recovery,generated,figures/latent_recovery.png,tables/latent_recovery.tex,cuda
recurrence_controls,generated,figures/recurrence_controls.png,tables/recurrence_controls.tex,cuda
negative_controls,generated,figures/negative_controls.png,tables/negative_controls.tex,cuda
synthetic_baselines,generated,figures/synthetic_baselines.png,tables/synthetic_baselines.tex,cuda
rrad_ablation,generated,figures/rrad_ablation.png,tables/rrad_ablation.tex,cuda
initialization_ablation,generated,figures/initialization_ablation.png,tables/initialization_ablation.tex,cuda
bic_structural_ablation,generated,figures/bic_structural_ablation.png,tables/bic_structural_ablation.tex,cuda
architecture_search,generated,figures/architecture_search.png,tables/architecture_search.tex,cuda
automatic_symmetry,generated,figures/automatic_symmetry.png,tables/automatic_symmetry.tex,cuda
detection_regime,generated,figures/detection_regime.png,tables/detection_regime.tex,cuda
artifact_stress,generated,figures/artifact_stress.png,tables/artifact_stress.tex,cuda
geometry_transfer,generated,figures/geometry_transfer.png,tables/geometry_transfer.tex,cuda
multilayer,generated,figures/multilayer.png,tables/multilayer.tex,cuda
measured_fidelity,generated,figures/measured_fidelity.png,tables/measured_fidelity.tex,cuda
measured_baselines,generated,figures/measured_baselines.png,tables/measured_baselines.tex,cuda
cross_device,generated,figures/cross_device.png,tables/cross_device.tex,cuda
cross_rate,generated,figures/cross_rate.png,tables/cross_rate.tex,cuda
compression_fidelity,generated,figures/compression_fidelity.png,tables/compression_fidelity.tex,cuda
frequency_response,generated,figures/frequency_response.png,tables/frequency_response.tex,cuda
learning_rate_sensitivity,generated,figures/learning_rate_sensitivity.png,tables/learning_rate_sensitivity.tex,cuda
long_sequence,generated,figures/long_sequence.png,tables/long_sequence.tex,cuda
scalable_bic,generated,figures/scalable_bic.png,tables/scalable_bic.tex,cuda
runtime_benchmark,generated,figures/runtime_benchmark.png,tables/runtime_benchmark.tex,cuda
circuit_validation,generated,,tables/circuit_validation.tex,cuda
dataset_integrity,generated,,tables/dataset_integrity.tex,cuda
export_validation,generated,,tables/export_validation.tex,cuda
