pulse_width_steps,seed,alpha_rec,r2,accepted,train_source_ids,validation_source_ids,test_source_ids,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,profile,execution_device,device,cluster_count
10,0,0.04980833466580947,0.6258342390845625,False,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width10_seed0.pt,18e107879cf4e1878e8300508bd4ce9ff8272f7d653e8c66459ef2ba2d2b0c51,c916d5305c1d6083b6a7ba3389a6f3f65fb6aac4a2a869e9e990aa748d96ae31,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,final,cuda,cuda,8
10,1,0.030049071449925885,0.6168786327350259,False,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width10_seed1.pt,41b9d2b6514dfaad52c16b7081bf3a0cb81aa17fd000894fdef8795dd9febc80,98f72e13d9c7461af4d099b713d01635601a1471259e647d158ac908daf2bb56,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 277}",277,final,cuda,cuda,4
10,2,0.05027580646653299,0.8229548414685895,False,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width10_seed2.pt,355641d51b750d2872e39d856cffc705aa33436f100e810b759d9bb288389788,bb43729fcdeca45e01fa11fd874906b2c6f481048a559d3804606d755b6c2e8f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,cuda,cuda,16
30,0,0.08020178799649402,0.7923198393087002,False,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width30_seed0.pt,d5f22553641221a5028468ae18a988003cebc31022849284e5a3305fc3338596,6bd62fa68930c1193b02628a14547ad71657a6b779c65a7e0f4742203a7647e5,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,cuda,cuda,16
30,1,0.096136333630722,0.9722678758517663,True,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width30_seed1.pt,5949b063f14a5859ec3764389990a6f92c91d51f71f117f5ea642450200c46b0,90e88b1c07bd4649078ee21e19166dddeb0fa05e21c00ceb4aa5a97aaf4f6fa6,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,cuda,cuda,16
30,2,0.03700897026340918,0.7045979835552213,False,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width30_seed2.pt,75bf288e0de1270f76ee4f56eb63f06fbcbf7853dfb6e3029e8fdcc0bc7d8d53,61f39ea805bc62640fd7ceb683b6cc2f1ca5dcf5f589c1a1c08f4ab608dfd908,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,final,cuda,cuda,8
60,0,0.08156627951105495,0.9716467723750329,True,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width60_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,528a785d476611536125d599f456e671dd276ad005e14bd79b3d1ded2d7ca416,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,cuda,cuda,16
60,1,0.08282205675579268,0.9852839048660714,True,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width60_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,8e9888c319b2962253dda45ce9f0a809ac40aac45db2a2a1b56f7a1e57f8cc0b,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,cuda,cuda,16
60,2,0.09773685045508777,0.9866873693539118,True,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width60_seed2.pt,3b902c52c42f3831b20a76fa38b0710efe617a761ec7480f7b13cff8028e8bfa,d1cdce3eb53cc70fd226e2c64649c766f10d7a138b696636de1c5ed9cae70731,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,cuda,cuda,16
120,0,0.06106820041876539,0.8086107438248383,False,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,checkpoints/frequency_width120_seed0.pt,a59392cb5b1d9cde2b24da59f77646b8b65a38ab2d6a0849eed68059f4318a78,a1b62534962374141e875d71ac2be2d0d2085c93eb7df7e2fc8a59a2f188e604,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,cuda,cuda,16
