geometry,tau,heat_coefficient,stride,alpha_rec,r2,accepted,alpha_error,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,profile,seed,device,train_source_ids,validation_source_ids,test_source_ids,execution_device,cluster_count
spacing_50um,0.05,1200.0,8,0.039630149524544356,0.7819734763796377,False,0.5046231309431956,checkpoints/geometry_spacing_50um_seed0.pt,b5209318e385e3fda925cca79d50195505738471c3d06af8201086891b29f194,f276637cf3d7684eadad666e4c0440525817244272b16f08b32d61e5196353fb,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat1200-artifactnone;driver-123-tau0.05-heat1200-artifactnone;driver-456-tau0.05-heat1200-artifactnone;driver-7-tau0.05-heat1200-artifactnone;driver-99-tau0.05-heat1200-artifactnone,driver-999-tau0.05-heat1200-artifactnone,driver-777-tau0.05-heat1200-artifactnone;driver-888-tau0.05-heat1200-artifactnone;driver-555-tau0.05-heat1200-artifactnone,cuda,16
spacing_50um,0.05,1200.0,8,0.06840408397449005,0.9122054085321638,True,0.14494895031887442,checkpoints/geometry_spacing_50um_seed1.pt,49b359c675bae257c215a70ce0ba2eb5c47749427a4ef9c11890d895f002a7ba,4b2c8a41d23dc38a0f8cac1b588783b4c6b1c0f5018cfff702d57bbfbf3461e2,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat1200-artifactnone;driver-123-tau0.05-heat1200-artifactnone;driver-456-tau0.05-heat1200-artifactnone;driver-7-tau0.05-heat1200-artifactnone;driver-99-tau0.05-heat1200-artifactnone,driver-999-tau0.05-heat1200-artifactnone,driver-777-tau0.05-heat1200-artifactnone;driver-888-tau0.05-heat1200-artifactnone;driver-555-tau0.05-heat1200-artifactnone,cuda,16
spacing_50um,0.05,1200.0,8,0.06537962078611535,0.8982810509431994,True,0.1827547401735581,checkpoints/geometry_spacing_50um_seed2.pt,04786dc2289a6d0d3e6e94c69d84114bb2446e1128d7fa09066afd6296c4448d,781bd5366fbfb56dcfa277549c91ba86a6957d76945ce9575290585e0693a24d,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat1200-artifactnone;driver-123-tau0.05-heat1200-artifactnone;driver-456-tau0.05-heat1200-artifactnone;driver-7-tau0.05-heat1200-artifactnone;driver-99-tau0.05-heat1200-artifactnone,driver-999-tau0.05-heat1200-artifactnone,driver-777-tau0.05-heat1200-artifactnone;driver-888-tau0.05-heat1200-artifactnone;driver-555-tau0.05-heat1200-artifactnone,cuda,16
spacing_100um,0.05,800.0,8,0.08156627951105495,0.9716467723750329,True,0.0195784938881869,checkpoints/geometry_spacing_100um_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,76b64932fb68cad9fef651434a92cc13d110daff807b2971e606ac7d6c0b70b5,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
spacing_100um,0.05,800.0,8,0.08282205675579268,0.9852839048660714,True,0.03527570944740852,checkpoints/geometry_spacing_100um_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,f577fc37c574afa5628b7a7596a4e66f4c7103122c0cd5d319fe4d9887dea8f8,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
spacing_100um,0.05,800.0,8,0.09773685045508777,0.9866873693539118,True,0.22171063068859714,checkpoints/geometry_spacing_100um_seed2.pt,3b902c52c42f3831b20a76fa38b0710efe617a761ec7480f7b13cff8028e8bfa,710f829b441b9b57876c16d0f528e9ca36ae42f00ffe5aee68af6db883175ea8,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
spacing_200um,0.05,450.0,8,0.08938055067047729,0.9799486564849441,True,0.11725688338096607,checkpoints/geometry_spacing_200um_seed0.pt,5b289ab3abe1433a3c4a77b71b4f38a4c2c81bb9aebb07efe976f0156805fbe2,631309ce51234f35fa9dc42bccb950531b109d8177882008d8c12a5e7235f2a2,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat450-artifactnone;driver-123-tau0.05-heat450-artifactnone;driver-456-tau0.05-heat450-artifactnone;driver-7-tau0.05-heat450-artifactnone;driver-99-tau0.05-heat450-artifactnone,driver-999-tau0.05-heat450-artifactnone,driver-777-tau0.05-heat450-artifactnone;driver-888-tau0.05-heat450-artifactnone;driver-555-tau0.05-heat450-artifactnone,cuda,16
spacing_200um,0.05,450.0,8,0.08110066711661114,0.9825536664184767,True,0.013758338957639213,checkpoints/geometry_spacing_200um_seed1.pt,08b1da7e5e8a571c40b766cc76066a1acc04bb03952c09415fba7d49a984adaf,9661aa963756c9f4d75f87d4b72831d5576597fb148353d9e7181f3fc64b6fb4,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat450-artifactnone;driver-123-tau0.05-heat450-artifactnone;driver-456-tau0.05-heat450-artifactnone;driver-7-tau0.05-heat450-artifactnone;driver-99-tau0.05-heat450-artifactnone,driver-999-tau0.05-heat450-artifactnone,driver-777-tau0.05-heat450-artifactnone;driver-888-tau0.05-heat450-artifactnone;driver-555-tau0.05-heat450-artifactnone,cuda,16
spacing_200um,0.05,450.0,8,0.09832690106031207,0.9283421243936347,True,0.22908626325390083,checkpoints/geometry_spacing_200um_seed2.pt,5e41fceecab97cfe5a23030bfb19a1cb92910f63af37624095977984f7b33f98,26d65d4ff897758b3fd3d9597093a20e753f5033ec851c8d9a75a3d1c9f5e839,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,final,2,cuda,driver-42-tau0.05-heat450-artifactnone;driver-123-tau0.05-heat450-artifactnone;driver-456-tau0.05-heat450-artifactnone;driver-7-tau0.05-heat450-artifactnone;driver-99-tau0.05-heat450-artifactnone,driver-999-tau0.05-heat450-artifactnone,driver-777-tau0.05-heat450-artifactnone;driver-888-tau0.05-heat450-artifactnone;driver-555-tau0.05-heat450-artifactnone,cuda,8
vertical_R_x2,0.05,400.0,8,0.06281525388904391,0.8553506984715598,False,0.21480932638695116,checkpoints/geometry_vertical_R_x2_seed0.pt,1cb3ade100ab4442c65922991fccb1fdcedacc72aa484db3cdca75881e31b8d0,eb167ce4227b6ccee3ab5fea5af96a6bb67a581948d666667b63d8fefcdca252,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat400-artifactnone;driver-123-tau0.05-heat400-artifactnone;driver-456-tau0.05-heat400-artifactnone;driver-7-tau0.05-heat400-artifactnone;driver-99-tau0.05-heat400-artifactnone,driver-999-tau0.05-heat400-artifactnone,driver-777-tau0.05-heat400-artifactnone;driver-888-tau0.05-heat400-artifactnone;driver-555-tau0.05-heat400-artifactnone,cuda,16
