method,alpha_true,alpha_rec,r2,accepted,alpha_error,validation_mse,test_mse,cluster_count,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,runtime_s,profile,seed,device,train_source_ids,validation_source_ids,test_source_ids,execution_device
psi_vortex,0.05,0.05341502834405005,0.9871804933925622,True,0.06830056688100092,0.023313233576922776,0.036464036381735426,16,checkpoints/latent_alpha0.05_seed0.pt,e5b1dd4b50ea56e0b2292c8525124c62c6f1c3deac3997abb6c66cb2f8e2fcc7,f3e3b42df15c4b095751db7b6e72e87428bd49023428afa04dd5f9fdc0b484be,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,638.3589718999574,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
psi_vortex,0.05,0.05214094753034699,0.9861102898367496,True,0.042818950606939715,0.02657816799513372,0.0180367255115889,16,checkpoints/latent_alpha0.05_seed1.pt,8e9d6afe63c44744b843b3701b75e479f4e12b8ce469ec81d538d2c16e19cb62,d9a2ce888b8dff4a252c3e5783c337ff1986162f1038d4ba312fc2bbdf0556f6,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,636.8872751999879,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
psi_vortex,0.05,0.051396190201093504,0.967456028459074,True,0.02792380402187003,0.018894529912576258,0.007793330418002875,16,checkpoints/latent_alpha0.05_seed2.pt,d3bf33f7419bb26371630ee28fc82749678736bb589d434e7668671a8446c7d8,2133231365b84c7a4dfff2b54bb4e3602ab40bfcf8f34474fc75a8448c413f08,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,625.5602616000688,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
psi_vortex,0.08,0.08156627951105495,0.9716467723750329,True,0.0195784938881869,0.0767264347152406,0.016333111412180055,16,checkpoints/latent_alpha0.08_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,38fb886ff725e4b64b3727b5eed3a9bb52cb34af1ed431fd80abe77f00ba9bde,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,633.4114943000022,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
psi_vortex,0.08,0.08282205675579268,0.9852839048660714,True,0.03527570944740852,0.02988463094034993,0.03546858593762158,16,checkpoints/latent_alpha0.08_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,23630eb108db0c36634fca4988df89bc5627aaa4f24e38eac40cf11f9ea0bac0,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,637.012969299918,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
psi_vortex,0.08,0.09773685045508777,0.9866873693539118,True,0.22171063068859714,0.02487843730060228,0.022193880828411613,16,checkpoints/latent_alpha0.08_seed2.pt,3b902c52c42f3831b20a76fa38b0710efe617a761ec7480f7b13cff8028e8bfa,b010ced59788643a4e8f66e88bdbcfee5616ebd95e93157ad92752c49a48409e,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,637.8807197000133,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
psi_vortex,0.1,0.0702451763558468,0.6314364157226755,False,0.297548236441532,0.5781722961668949,0.2912528556023303,8,checkpoints/latent_alpha0.1_seed0.pt,34c540ce29fb9568040480e775885f799ef7c508d959c79cf95e7ffc1ba8bc25,b024d4d2f962b7bec4d80dd24acc7f908eca8014eb4f18e5d26ca3ae939920f2,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,602.9877283999231,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
psi_vortex,0.1,0.1033893376404032,0.959603425897304,True,0.03389337640403195,0.23571480982807053,0.27963542051682594,16,checkpoints/latent_alpha0.1_seed1.pt,a794f5b8fc0b0b6b9ee514ea87952f53ea765971a7f91cb1c4c4e134ee7d86d3,260f19b8f5b9e42a1d857c499d38164996413626816098398ea014975f1c092b,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,619.4768119000364,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
psi_vortex,0.1,0.025217820485043008,0.5035250987383769,False,0.7478217951495699,0.7714806058967256,2.0195319795038595,16,checkpoints/latent_alpha0.1_seed2.pt,7d00aed4aaa32ab86511e4555d33b8cee6891ed7289b65e4339e0e9218471a24,f7049774e99a82c08c9d846b30088cf12d57c50045b3859ee391751ec1b40c5f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,620.4426601000596,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
psi_vortex,0.15,0.015941645263290685,0.341147828463598,False,0.8937223649113953,2.4916710112674303,1.5382292444804118,4,checkpoints/latent_alpha0.15_seed0.pt,299441a077403482f24cd76163952195162a1753a9624da125ddaf10da395087,64365c1bbec71543a5d7359a79ddd92e1c65b65f7a2146f609f7ba64d225c51f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 277}",277,630.0926513000159,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
