device,method,seed,correlation,nrmse,parameters,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,train_source_ids,validation_source_ids,test_source_ids,profile,execution_device
GO-PDADMAC4,mlp,0,0.9922122634854278,0.03882056560019722,1185,checkpoints/measured_baseline_GO-PDADMAC4_mlp_seed0.pt,eae641100fef19a9072240012faea6326e4d075d0640aff81a4559fbed71996b,93a16f0b7a5c2d0ee9a0a640c6297b5b44321cd1db43d93382f4cac468807998,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [2, 32, 32, 1], ""parameters"": 1185}",1185,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda
GO-PDADMAC4,pikan,0,0.9906133060277793,0.043716362507429905,96,checkpoints/measured_baseline_GO-PDADMAC4_pikan_seed0.pt,5c3150e9dc66d963fc8e934ef1ab739cf70cf03ba82cd6615aeeec5ed1dab9c8,064954765e7f488a8bf4a9fce457180c874f2b9c99cd5d3a8c4829d5bcac8d0a,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [2, 8, 1], ""class"": ""PIKAN"", ""parameters"": 96}",96,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda
GO-PDADMAC4,sindy,0,0.8540118596110939,0.16514382419080129,10,checkpoints/measured_baseline_GO-PDADMAC4_sindy_seed0.pt,3099c0b49d24016b0bb915eba0d3941db56bf00fc0734ffb25cd5bc0072770ba,3099c0b49d24016b0bb915eba0d3941db56bf00fc0734ffb25cd5bc0072770ba,serialized_payload,,,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda
GO-PDADMAC4,mlp,1,0.9923236843962894,0.039250109893574366,1185,checkpoints/measured_baseline_GO-PDADMAC4_mlp_seed1.pt,8665733b5a1720c2a89966b00752ccf68182f2739ae3e70b8cf133d8aaa795d6,cb58db985e8a506a67655177e91a54acaa2433a0feb10ee976b87f63c7b83be1,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [2, 32, 32, 1], ""parameters"": 1185}",1185,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda
GO-PDADMAC4,pikan,1,0.9930909825060305,0.03804496281890179,96,checkpoints/measured_baseline_GO-PDADMAC4_pikan_seed1.pt,6935ca872ac94c1595093706deca0d445a5f61d715495c3c06b9bc21aa8b51ff,4a1168bd239090d594542be3b82d0142557f12b6a442b5737226aefa22f6ba5b,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [2, 8, 1], ""class"": ""PIKAN"", ""parameters"": 96}",96,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda
GO-PDADMAC4,sindy,1,0.8540118596110939,0.16514382419080129,10,checkpoints/measured_baseline_GO-PDADMAC4_sindy_seed1.pt,4538d438467eadcfeb5581d7bc88cad930b4bce7c24064bac8fb12c9b63018c7,4538d438467eadcfeb5581d7bc88cad930b4bce7c24064bac8fb12c9b63018c7,serialized_payload,,,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda
GO-PDADMAC4,mlp,2,0.9917643080346159,0.03917264632366848,1185,checkpoints/measured_baseline_GO-PDADMAC4_mlp_seed2.pt,230660919e4416e54ad9dab48a1d295ea05db7b168f9acd8949a8715e70ec0fa,7d518cec0ac0878bf1c6095521917e3c2e2c4d6db81d6da9ef02848768483539,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [2, 32, 32, 1], ""parameters"": 1185}",1185,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda
GO-PDADMAC4,pikan,2,0.9940555039202068,0.03380843149087951,96,checkpoints/measured_baseline_GO-PDADMAC4_pikan_seed2.pt,a8f27c187287f9314e5eb9796e552702ccdd5ef6cc3663af8243f8cef6c27293,d6971a8aa4dd229670f268d4709baaa8156f41359f61db7186d1fb002c3d9ac4,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [2, 8, 1], ""class"": ""PIKAN"", ""parameters"": 96}",96,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda
GO-PDADMAC4,sindy,2,0.8540118596110939,0.16514382419080129,10,checkpoints/measured_baseline_GO-PDADMAC4_sindy_seed2.pt,51523c8a8a7875402a32a4a90e907cd9764d626d024ec3e549dc5d14cd83a77d,51523c8a8a7875402a32a4a90e907cd9764d626d024ec3e549dc5d14cd83a77d,serialized_payload,,,GO-PDADMAC4-1p0_400mvs-cycle-1;GO-PDADMAC4-1p0_400mvs-cycle-2;GO-PDADMAC4-1p0_400mvs-cycle-3;GO-PDADMAC4-1p0_400mvs-cycle-4;GO-PDADMAC4-1p0_400mvs-cycle-5;GO-PDADMAC4-1p0_400mvs-cycle-6,GO-PDADMAC4-1p0_400mvs-cycle-7;GO-PDADMAC4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda
GO-PEI3,mlp,0,0.9993912767218541,0.01013022850762684,1185,checkpoints/measured_baseline_GO-PEI3_mlp_seed0.pt,417050fa8681ec995b3385a59d1dff3620fc3204a353e97734a846e3cd012114,45d854ac7c496744c7f54f152921d5aba1a9a60117d65aa8133f3f30aab1d1f8,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [2, 32, 32, 1], ""parameters"": 1185}",1185,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PEI3-1p0_400mvs-cycle-9;GO-PEI3-1p0_400mvs-cycle-10;GO-PEI3-1p0_400mvs-cycle-11,final,cuda
