control,control_protocol,alpha_true,alpha_rec,r2,accepted,expected_signature,signature_passed,test_mse,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,profile,seed,device,train_source_ids,validation_source_ids,test_source_ids,execution_device,cluster_count
genuine,none,0.08,0.08156627951105495,0.9716467723750329,True,accepted_and_within_relative_error,True,0.016333111412180055,checkpoints/negative_genuine_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,02e7a0f0571a51671152e7bf6f5f114bcb17328356e8ef4f1d82f9f74b3473fa,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
genuine,none,0.08,0.08282205675579268,0.9852839048660714,True,accepted_and_within_relative_error,True,0.03546858593762158,checkpoints/negative_genuine_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,626b9dae0f0d7124407cad84a67e7b4d65644fb629789411734e867885b058be,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
genuine,none,0.08,0.09773685045508777,0.9866873693539118,True,accepted_and_within_relative_error,False,0.022193880828411613,checkpoints/negative_genuine_seed2.pt,3b902c52c42f3831b20a76fa38b0710efe617a761ec7480f7b13cff8028e8bfa,8a423cb91ea083a7b6460fa49408fefc82a4361637eb91c5ad0e1f3c0866fd89,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
zero_coupling,none,0.0,-8.338859941277282e-05,0.021386083405091072,False,near_zero_slope,True,0.0011548063115453023,checkpoints/negative_zero_coupling_seed0.pt,d3ee08d629d5284e2c788a9ba0674e0fc1c554ea46b2668a6f2b3561186c5424,4bc16b05440dc9d38824416dbe76937a87a9054bfabdfd76e2ca4bd71bfb6540,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,8
zero_coupling,none,0.0,-3.91763511082942e-05,0.030906337069977585,False,near_zero_slope,True,0.0003928749130699897,checkpoints/negative_zero_coupling_seed1.pt,de7951cabc7daedcaff812ede0e73cd4f8bdfa99b39854522ca49aca6f0ac5e4,65cb3cbcd015422d2653c0ef6709f254013c1581f68c142344790e95e4889878,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
zero_coupling,none,0.0,0.00010345448856757344,0.01778594536157363,False,near_zero_slope,True,0.00046567096415743884,checkpoints/negative_zero_coupling_seed2.pt,71b8eef4f7f6385bc7df3523c295663387b6a2692f278b041fab5417b6305890,c53ce62c94565027436f9a5071cb360dd1c6a616edb1d3c481f75efedc4c2ca0,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
unrelated_slow_drift,none,0.0,-0.00032209033002067385,0.2239522179205402,False,near_zero_slope,True,0.0014794835373066653,checkpoints/negative_unrelated_slow_drift_seed0.pt,376dc0bde94fa9090f5bc532154216ada10c629ac1eca68fd97dcdcfda69e525,af4e3237cd1a273f598765168fd5eb9dbd2038f3cd01f2cfb7fc16e827290574,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactbaseline_drift;driver-123-tau0.05-heat800-artifactbaseline_drift;driver-456-tau0.05-heat800-artifactbaseline_drift;driver-7-tau0.05-heat800-artifactbaseline_drift;driver-99-tau0.05-heat800-artifactbaseline_drift,driver-999-tau0.05-heat800-artifactbaseline_drift,driver-777-tau0.05-heat800-artifactbaseline_drift;driver-888-tau0.05-heat800-artifactbaseline_drift;driver-555-tau0.05-heat800-artifactbaseline_drift,cuda,16
unrelated_slow_drift,none,0.0,7.982079126826242e-05,0.17845751119075362,False,near_zero_slope,True,0.0013359223070689248,checkpoints/negative_unrelated_slow_drift_seed1.pt,329e40c11e24c8b97518ce296a5d5cd8b50596db7edd72b982ff1d7216e57fff,a94700e99c95fcad7aaf1f0dafc08eec3f57223361a33e022d02dd23356169d0,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactbaseline_drift;driver-123-tau0.05-heat800-artifactbaseline_drift;driver-456-tau0.05-heat800-artifactbaseline_drift;driver-7-tau0.05-heat800-artifactbaseline_drift;driver-99-tau0.05-heat800-artifactbaseline_drift,driver-999-tau0.05-heat800-artifactbaseline_drift,driver-777-tau0.05-heat800-artifactbaseline_drift;driver-888-tau0.05-heat800-artifactbaseline_drift;driver-555-tau0.05-heat800-artifactbaseline_drift,cuda,16
unrelated_slow_drift,none,0.0,-0.00014956919109557538,0.0291657873670228,False,near_zero_slope,True,0.0006253995585093302,checkpoints/negative_unrelated_slow_drift_seed2.pt,17afa376bd5c8ef31cb586b2034f35476f919d1cd2456ae87216620de55697db,a5147b77c655bdceb40afd5f8d92fc5d8b5cf4e9b1fc0e243d58f81a4bbf2d96,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactbaseline_drift;driver-123-tau0.05-heat800-artifactbaseline_drift;driver-456-tau0.05-heat800-artifactbaseline_drift;driver-7-tau0.05-heat800-artifactbaseline_drift;driver-99-tau0.05-heat800-artifactbaseline_drift,driver-999-tau0.05-heat800-artifactbaseline_drift,driver-777-tau0.05-heat800-artifactbaseline_drift;driver-888-tau0.05-heat800-artifactbaseline_drift;driver-555-tau0.05-heat800-artifactbaseline_drift,cuda,16
shuffled_driver,shuffle_driver_values,0.08,-4.069545851217244e-05,0.007800683756714499,False,r2_below_acceptance_gate,True,0.5913962760611201,checkpoints/negative_shuffled_driver_seed0.pt,38710a0ed09d98cfabb56cfec9e673a4a2fac82fb2138f5f4504b8059a96e3e1,ab4451b074b34a5e96ebd96e343b3aecb9038fe0683f998f754788de31001b01,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
