control,alpha_true,alpha_rec,r2,accepted,control_mse,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,profile,seed,device,train_source_ids,validation_source_ids,test_source_ids,execution_device,cluster_count
chronological,0.08,0.08156627951105495,0.9716467723750329,True,0.016333111412180055,checkpoints/recurrence_controls_recurrent_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,2c117db33597bf26c4db5ebc922db187815d5594b7ed3840e51e39121c6abd9d,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
state_reset,0.08,0.001655685714504145,0.009711243303698843,False,1.2514826760665672,checkpoints/recurrence_controls_recurrent_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,2c117db33597bf26c4db5ebc922db187815d5594b7ed3840e51e39121c6abd9d,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
shuffled_order,0.08,-0.005212736858068043,0.013300360917067508,False,0.9028574423011081,checkpoints/recurrence_controls_recurrent_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,2c117db33597bf26c4db5ebc922db187815d5594b7ed3840e51e39121c6abd9d,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
absent_memory_pointwise,0.08,0.0014285188831524229,0.004934118389847253,False,0.6001850548651747,checkpoints/recurrence_controls_pointwise_seed0.pt,2b7ee1fe3bb52336f458af22fdf12e334e6b1efd05cc123659f489770e818ab1,8ca9db1f487d9eddfbe466d71c8adc071d4c7791a4e735e5050784c668cde38d,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 16, 16, 1], ""parameters"": 321}",321,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,
chronological,0.08,0.08282205675579268,0.9852839048660714,True,0.035468586570871465,checkpoints/recurrence_controls_recurrent_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,fe42a3eb5556602df936475b5bc67c59ffb1e314329684f5a3e3eed743874b9e,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
state_reset,0.08,0.0013292014847982355,0.00810748987052349,False,1.2256791113540628,checkpoints/recurrence_controls_recurrent_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,fe42a3eb5556602df936475b5bc67c59ffb1e314329684f5a3e3eed743874b9e,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
shuffled_order,0.08,0.0008423010472006607,0.003164909052147465,False,0.6984064879803702,checkpoints/recurrence_controls_recurrent_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,fe42a3eb5556602df936475b5bc67c59ffb1e314329684f5a3e3eed743874b9e,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
absent_memory_pointwise,0.08,0.0014139982094147775,0.004934118389847327,False,0.5993540081211612,checkpoints/recurrence_controls_pointwise_seed1.pt,cc1ef448610441b78df99d368dabab265cfbdbe660729a75af18f0498068e5c5,208594699fa2af9fb36fb632203670016397a6de74aab33fe6d132162a105159,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 16, 16, 1], ""parameters"": 321}",321,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,
chronological,0.08,0.09773685045508777,0.9866873693539118,True,0.022193880828411613,checkpoints/recurrence_controls_recurrent_seed2.pt,3b902c52c42f3831b20a76fa38b0710efe617a761ec7480f7b13cff8028e8bfa,db7369e17180c42c265c40e96348d6a6b3532939fa81f006d69b81145737a96a,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
state_reset,0.08,0.0016180262724415624,0.00884030848655252,False,1.1886809451646538,checkpoints/recurrence_controls_recurrent_seed2.pt,3b902c52c42f3831b20a76fa38b0710efe617a761ec7480f7b13cff8028e8bfa,db7369e17180c42c265c40e96348d6a6b3532939fa81f006d69b81145737a96a,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda,16
