variant,alpha_rec,r2,accepted,test_mse,cluster_count,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,profile,seed,device,train_source_ids,validation_source_ids,test_source_ids,execution_device
full,0.08156627951105495,0.9716467723750329,True,0.016333111412180055,16,checkpoints/rrad_full_seed0.pt,4637b2a3182a39523acab3a6e97919014760b7a1fc6530ad1e417833b10a3516,db03849da3d29c84a2437a1c9903dc9347356b42cab891e2ee17d56f07ec3824,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
full,0.08282205675579268,0.9852839048660714,True,0.03546858593762158,16,checkpoints/rrad_full_seed1.pt,939ecf32e8156e779e1368bc4aa4fb564b221445b038afb7b1c40679c55e911b,33be634e4caa9f860b7a331ecd4c328851197abe1dae30928b8c1c8b1649ded1,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
full,0.09773685045508777,0.9866873693539118,True,0.022193880828411613,16,checkpoints/rrad_full_seed2.pt,3b902c52c42f3831b20a76fa38b0710efe617a761ec7480f7b13cff8028e8bfa,916cbf855197189fdf661d4dfc89257642561af4097340376510a8710c727512,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
output_only,0.08665264256072919,0.9463001883404848,True,0.1400141570355946,16,checkpoints/rrad_output_only_seed0.pt,00ab8259017a6016aa31c19118aee11ee5e632809570ba08179a39e0ee5b84ae,63409c97df039641bb1507ba9c0300f971cccf136447dbeb71b7d799f1112e5a,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
output_only,0.08747788978622534,0.8973641475338198,True,0.07631049466481406,16,checkpoints/rrad_output_only_seed1.pt,8487094e61c8715a2286db9ec03eab54a3cb8387f080411eeb6ec8fb25aed190,881478ad0476277dfcf35b68dc0aef8cfcaceccf20e48825a828669264e5295a,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
output_only,0.06779356832105055,0.9388825087085895,True,0.5087605003974985,16,checkpoints/rrad_output_only_seed2.pt,2bf89e73c2b0a44d912c2d803bb5806563b7c74f38e80353856dbda42621f9be,9d5138cd4712e09dd9eaaaf17ec2bcf9f6cbe7502186114ae7816d007890f09d,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
no_temporal,0.08393312291673134,0.9517141873511036,True,0.182846477148859,16,checkpoints/rrad_no_temporal_seed0.pt,480b0c88749adad964a999573a1476888388e67891c41e6c6bced2869d431248,97a40bcf62b290852c4a3e438cd2e1f8a25fe6180e0ccefad11742052a9f2295,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
no_temporal,0.06563859598041084,0.8827738175422831,True,0.1812870486640677,4,checkpoints/rrad_no_temporal_seed1.pt,eb7b7c3384729f8030204b02d46e0a816393fe1d8ec70bd83eb9c9ee2c476e09,2cae41cf3f3bed1f5068901cd325202addda28c53cdd8a7830c0c516ede75bcd,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 277}",277,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
no_temporal,0.08965742528251573,0.9754473644414611,True,0.11225322708190674,16,checkpoints/rrad_no_temporal_seed2.pt,83863ccfb400a635cb6cd2bcc5af6e9e55612667bf6cc961cd2824cd8834cba8,f8e81c5fd8a0c58d11a6bd10413ef123a5781e7d0b7246f4309a45130e209c7f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
no_hidden,0.0720011622226312,0.9460170476892337,True,0.026049350520687433,4,checkpoints/rrad_no_hidden_seed0.pt,38fbeb3fc02d5f72031adfe0f207b3ae3f9035bd5a2c9c550790e149f8842d37,a9a808e515f33e4b84456f7282c7c5f454f7e2c0ef5170eef3a0cf864efbea74,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 277}",277,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
