method,alpha_true,parameters,alpha_rec,r2,accepted,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,profile,seed,device,train_source_ids,validation_source_ids,test_source_ids,execution_device
mlp,0.05,1153,0.0008927590258573457,0.004934118389847401,False,checkpoints/synthetic_baseline_mlp_alpha0.05_seed0.pt,b76258b1ce68d010b89c2b38f0cd75debc5e3615c912b6aa899330cf994397a1,66b1d866762d9e81708ca544f7b899aa054e0543a89d8eb2ff1c5939a741c0ab,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 32, 32, 1], ""parameters"": 1153}",1153,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
pikan,0.05,64,0.0008927584460547114,0.004934118389847179,False,checkpoints/synthetic_baseline_pikan_alpha0.05_seed0.pt,82f7467d167c23e013d63ca27c2fa5925202e403ae3dceed861255d0d38406ec,43977ca4455578facc3e6f5c90fdb0f24f2c8c03e47770dbad88fb0fd39c1762,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [1, 8, 1], ""class"": ""PIKAN"", ""parameters"": 64}",64,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
sindy,0.05,4,0.000892758963383416,0.004934118389847179,False,checkpoints/synthetic_baseline_sindy_alpha0.05_seed0.pt,edc9acaa9d63c169a1575d47f3726c9ec0fd8fe6b1017c93c2817c3362e3208b,edc9acaa9d63c169a1575d47f3726c9ec0fd8fe6b1017c93c2817c3362e3208b,serialized_payload,,,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
vanilla_lstm,0.05,361,0.0571975128892108,0.9676508033198261,True,checkpoints/synthetic_baseline_vanilla_lstm_alpha0.05_seed0.pt,9aaed3eaf666cf74150688e24bd2b67d183f41acb955d279e7d22adac2649d3e,cb850617ec4a8126730f9c9c5deadb1b11b6840d751479c0da0426fc7a21873f,VanillaLSTM,"{""class"": ""VanillaLSTM"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""parameters"": 361}",361,final,0,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
mlp,0.05,1153,0.0008927590258573457,0.004934118389847401,False,checkpoints/synthetic_baseline_mlp_alpha0.05_seed1.pt,700bd61b0e3d4c3a0b003c45ba3eefd343439da82d265516c5dc09dce65e00a2,8f87146d980322267937395d45e520a0c53f05b5b82eb9e6ca6b37367cc5ba51,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 32, 32, 1], ""parameters"": 1153}",1153,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
pikan,0.05,64,0.0008927589292235678,0.004934118389847216,False,checkpoints/synthetic_baseline_pikan_alpha0.05_seed1.pt,e5e78b20f0060cb58081ab882a8d8efb20637e563206ba5f0a39125fd0727afe,119c83651f8fd16d0be50b56b8a2f91c63ce3569473ac64c583f82a34f8a88bd,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [1, 8, 1], ""class"": ""PIKAN"", ""parameters"": 64}",64,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
sindy,0.05,4,0.000892758963383416,0.004934118389847179,False,checkpoints/synthetic_baseline_sindy_alpha0.05_seed1.pt,1e060c7fcacc5255bc19015123659746132bcbf9d220c1b7e4dd840ca5a2bbba,1e060c7fcacc5255bc19015123659746132bcbf9d220c1b7e4dd840ca5a2bbba,serialized_payload,,,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
vanilla_lstm,0.05,361,0.05416881823871033,0.9794524116873055,True,checkpoints/synthetic_baseline_vanilla_lstm_alpha0.05_seed1.pt,e7f1e7e708aa1183f67cb040caeef8063b67c021c137633cdf00225077ecde3d,f846cf2afa5baba644f6d097b7b56bcca8a538fdcdc9a178dbef2191da1c3320,VanillaLSTM,"{""class"": ""VanillaLSTM"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""parameters"": 361}",361,final,1,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
mlp,0.05,1153,0.0008927589292235588,0.004934118389847179,False,checkpoints/synthetic_baseline_mlp_alpha0.05_seed2.pt,12336e37373101da1a8291703f3e4e525312526c57f097f6dd8f14b1722ef521,f58d98d92e005db9e927f51a9ee60bb974f27fdcb81b86d4eed38b8f78851b47,StaticMLP,"{""class"": ""StaticMLP"", ""linear_widths"": [1, 32, 32, 1], ""parameters"": 1153}",1153,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
pikan,0.05,64,0.0008927588325898023,0.004934118389846994,False,checkpoints/synthetic_baseline_pikan_alpha0.05_seed2.pt,785c512dcba2466f11addaba91667709fc37d984719f493bda7d19a8a23e1754,1244c69bf9b0d2c584f396d5fc36db58a506bbd05bbf49289c2989127d6192b7,PIKAN,"{""chebyshev_degree"": 3, ""chebyshev_widths"": [1, 8, 1], ""class"": ""PIKAN"", ""parameters"": 64}",64,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
sindy,0.05,4,0.000892758963383416,0.004934118389847179,False,checkpoints/synthetic_baseline_sindy_alpha0.05_seed2.pt,4df83c3b2f4c2b1516cace6971f667c8a2c01bb38412866d676f180b72b2f3cd,4df83c3b2f4c2b1516cace6971f667c8a2c01bb38412866d676f180b72b2f3cd,serialized_payload,,,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
vanilla_lstm,0.05,361,0.05674591836819176,0.956074573587474,True,checkpoints/synthetic_baseline_vanilla_lstm_alpha0.05_seed2.pt,5cae2899410d366347542abf3f32216240d08816eae3a079c0081f7134582b34,7459842436c0ad97b102c98690e9c11d0198d6321d8fd839e887425e90c03f12,VanillaLSTM,"{""class"": ""VanillaLSTM"", ""hidden_size"": 8, ""input_size"": 1, ""num_layers"": 1, ""parameters"": 361}",361,final,2,cuda,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,cuda
