seed,method,val_mse,params,eff_dof,K,r,alpha_err_pct,manual_choices
42,L2 + k-means,9.180645429296419e-05,1302,1.2471201419830322,8,16,100.0,high
42,L1 + k-means,8.321477253048215e-06,1302,1.2866498231887817,8,16,151.8300247632531,high
42,Fixed K=4 / r=4,0.00021970407397020608,1302,1.9522113800048828,8,4,100.0,high
42,BIC-only,2.0040311028424185e-06,1302,1.0105996131896973,8,13,100.0,medium
42,Full Psi-Vortex,6.058555046539738e-11,1302,1.0,1,1,26.324174732846593,low
123,L2 + k-means,1.6205431165872142e-05,1302,1.1002469062805176,8,16,100.0,high
123,L1 + k-means,0.00014733930584043264,1302,1.1383837461471558,8,16,100.0,high
123,Fixed K=4 / r=4,6.948901136638597e-05,1302,1.9416505098342896,8,4,100.0,high
123,BIC-only,2.701708012864401e-07,1302,1.0014381408691406,8,1,100.0,medium
123,Full Psi-Vortex,1.2297071139144578e-09,1302,1.0,1,1,69.98410753998495,low
456,L2 + k-means,2.398163815087173e-05,1302,1.1408889293670654,8,15,330.60862049604384,high
456,L1 + k-means,4.3283016566419974e-05,1302,1.16591477394104,8,16,328.14340684961957,high
456,Fixed K=4 / r=4,0.00043632250162772834,1302,1.9175140857696533,8,4,100.0,high
456,BIC-only,3.3476492262707325e-06,1302,1.003976583480835,8,1,241.783385004426,medium
456,Full Psi-Vortex,1.891376638640807e-10,1302,1.0,1,1,27.82198379690799,low
