seed,control,is_null,alpha_gt,alpha_rec,latent_corr,val_mse
42,REF genuine alpha=0.08,False,0.08,0.06687601028255064,0.3171713906970082,1.3006114241154165e-10
42,alpha=0 (no coupling),True,0.0,0.03733923800595291,0.3180394730486162,1.98942654017209e-10
42,shuffled driver,True,0.08,0.05392577357250777,0.008719575363051313,4.224373975625362e-11
42,victim-only (no driver),True,0.08,0.07454425962450928,0.8789644766947492,6.254838313957123e-10
42,fake slow drift (alpha=0),True,0.0,0.037191656725596066,0.31799823226756285,1.7120620199317926e-10
123,REF genuine alpha=0.08,False,0.08,0.04600632011171131,0.40288640729754727,9.141066237283724e-10
123,alpha=0 (no coupling),True,0.0,-0.0005112366904704142,0.4023153634974339,6.37718090140682e-12
123,shuffled driver,True,0.08,0.060430702893808676,0.015006477387658161,7.163017956557383e-10
123,victim-only (no driver),True,0.08,0.04834583417161111,0.8236367746512621,8.119454553145999e-10
123,fake slow drift (alpha=0),True,0.0,-0.0270038592553798,0.40235431251553305,9.869192268974203e-12
456,REF genuine alpha=0.08,False,0.08,0.028187644207699897,0.20507167881387087,8.291560771311879e-10
456,alpha=0 (no coupling),True,0.0,-0.034781398014450675,0.20510252324428868,4.731788849632323e-10
456,shuffled driver,True,0.08,0.06434847305712904,0.05603708584867864,1.6170136063475837e-10
456,victim-only (no driver),True,0.08,0.04221353717575229,0.7673353127615824,3.264758186016792e-10
456,fake slow drift (alpha=0),True,0.0,-0.017089347703794583,0.20509874567982717,5.128362179362966e-10
